State,MMR_rates
Alabama,93.1
Alaska,86.2
Arizona,88.3
Arkansas,92.3
California,91.5
Colorado,91.5
Connecticut,94.8
Delaware,94.4
Dist. of Columbia,93.0
Florida,91.0
Georgia,91.9
Hawaii,95.0
Idaho,93.3
Illinois,91.6
Indiana,90.0
Iowa,93.3
Kansas,88.5
Kentucky,89.2
Louisiana,90.5
Maine,91.2
Maryland,92.5
Massachusetts,93.7
Michigan,91.4
Minnesota,90.1
Mississippi,93.4
Missouri,92.7
Montana,91.5
Nebraska,89.0
Nevada,89.8
New Hampshire,93.7
New Jersey,94.8
New Mexico,88.8
New York,90.2
North Carolina,89.0
North Dakota,90.6
Ohio,90.3
Oklahoma,90.0
Oregon,87.3
Pennsylvania,87.0
Rhode Island,94.3
South Carolina,93.2
South Dakota,93.3
Tennessee,92.2
Texas,89.7
Utah,87.3
Vermont,91.7
Virginia,94.3
Washington,84.8
West Virginia,84.6
Wisconsin,89.3
Wyoming,91.2